Posittion,RaceName,SeasonYear,RaceNumber,RaceDate,DriverFirstName,DriverLastName,DriverID,StartingGridNumb,ConstructorName
1,United States Grand Prix,2017,17,2017-10-22,Lewis,Hamilton,hamilton,1,Mercedes
1,Mexican Grand Prix,2017,18,2017-10-29,Max,Verstappen,max_verstappen,2,Red Bull
1,Brazilian Grand Prix,2017,19,2017-11-12,Sebastian,Vettel,vettel,2,Ferrari
1,Abu Dhabi Grand Prix,2017,20,2017-11-26,Valtteri,Bottas,bottas,1,Mercedes
1,Australian Grand Prix,2018,1,2018-03-25,Sebastian,Vettel,vettel,3,Ferrari
1,Bahrain Grand Prix,2018,2,2018-04-08,Sebastian,Vettel,vettel,1,Ferrari
1,Chinese Grand Prix,2018,3,2018-04-15,Daniel,Ricciardo,ricciardo,6,Red Bull
1,Azerbaijan Grand Prix,2018,4,2018-04-29,Lewis,Hamilton,hamilton,2,Mercedes
1,Spanish Grand Prix,2018,5,2018-05-13,Lewis,Hamilton,hamilton,1,Mercedes
1,Monaco Grand Prix,2018,6,2018-05-27,Daniel,Ricciardo,ricciardo,1,Red Bull
1,Canadian Grand Prix,2018,7,2018-06-10,Sebastian,Vettel,vettel,1,Ferrari
1,French Grand Prix,2018,8,2018-06-24,Lewis,Hamilton,hamilton,1,Mercedes
1,Austrian Grand Prix,2018,9,2018-07-01,Max,Verstappen,max_verstappen,4,Red Bull
1,British Grand Prix,2018,10,2018-07-08,Sebastian,Vettel,vettel,2,Ferrari
1,German Grand Prix,2018,11,2018-07-22,Lewis,Hamilton,hamilton,14,Mercedes
1,Hungarian Grand Prix,2018,12,2018-07-29,Lewis,Hamilton,hamilton,1,Mercedes
1,Belgian Grand Prix,2018,13,2018-08-26,Sebastian,Vettel,vettel,2,Ferrari
1,Italian Grand Prix,2018,14,2018-09-02,Lewis,Hamilton,hamilton,3,Mercedes
1,Singapore Grand Prix,2018,15,2018-09-16,Lewis,Hamilton,hamilton,1,Mercedes
1,Russian Grand Prix,2018,16,2018-09-30,Lewis,Hamilton,hamilton,2,Mercedes
1,Japanese Grand Prix,2018,17,2018-10-07,Lewis,Hamilton,hamilton,1,Mercedes
1,United States Grand Prix,2018,18,2018-10-21,Kimi,Räikkönen,raikkonen,2,Ferrari
1,Mexican Grand Prix,2018,19,2018-10-28,Max,Verstappen,max_verstappen,2,Red Bull
1,Brazilian Grand Prix,2018,20,2018-11-11,Lewis,Hamilton,hamilton,1,Mercedes
1,Abu Dhabi Grand Prix,2018,21,2018-11-25,Lewis,Hamilton,hamilton,1,Mercedes
2,Australian Grand Prix,2015,1,2015-03-15,Nico,Rosberg,rosberg,2,Mercedes
2,Malaysian Grand Prix,2015,2,2015-03-29,Lewis,Hamilton,hamilton,1,Mercedes
2,Chinese Grand Prix,2015,3,2015-04-12,Nico,Rosberg,rosberg,2,Mercedes
2,Bahrain Grand Prix,2015,4,2015-04-19,Kimi,Räikkönen,raikkonen,4,Ferrari
2,Spanish Grand Prix,2015,5,2015-05-10,Lewis,Hamilton,hamilton,2,Mercedes
2,Monaco Grand Prix,2015,6,2015-05-24,Sebastian,Vettel,vettel,3,Ferrari
2,Canadian Grand Prix,2015,7,2015-06-07,Nico,Rosberg,rosberg,2,Mercedes
2,Austrian Grand Prix,2015,8,2015-06-21,Lewis,Hamilton,hamilton,1,Mercedes
2,British Grand Prix,2015,9,2015-07-05,Nico,Rosberg,rosberg,2,Mercedes
2,Hungarian Grand Prix,2015,10,2015-07-26,Daniil,Kvyat,kvyat,7,Red Bull
2,Belgian Grand Prix,2015,11,2015-08-23,Nico,Rosberg,rosberg,2,Mercedes
2,Italian Grand Prix,2015,12,2015-09-06,Sebastian,Vettel,vettel,3,Ferrari
2,Singapore Grand Prix,2015,13,2015-09-20,Daniel,Ricciardo,ricciardo,2,Red Bull
2,Japanese Grand Prix,2015,14,2015-09-27,Nico,Rosberg,rosberg,1,Mercedes
2,Russian Grand Prix,2015,15,2015-10-11,Sebastian,Vettel,vettel,4,Ferrari
2,United States Grand Prix,2015,16,2015-10-25,Nico,Rosberg,rosberg,1,Mercedes
2,Mexican Grand Prix,2015,17,2015-11-01,Lewis,Hamilton,hamilton,2,Mercedes
2,Brazilian Grand Prix,2015,18,2015-11-15,Lewis,Hamilton,hamilton,2,Mercedes
2,Abu Dhabi Grand Prix,2015,19,2015-11-29,Lewis,Hamilton,hamilton,2,Mercedes
2,Australian Grand Prix,2016,1,2016-03-20,Lewis,Hamilton,hamilton,1,Mercedes
2,Bahrain Grand Prix,2016,2,2016-04-03,Kimi,Räikkönen,raikkonen,4,Ferrari
2,Chinese Grand Prix,2016,3,2016-04-17,Sebastian,Vettel,vettel,4,Ferrari
2,Russian Grand Prix,2016,4,2016-05-01,Lewis,Hamilton,hamilton,10,Mercedes
2,Spanish Grand Prix,2016,5,2016-05-15,Kimi,Räikkönen,raikkonen,5,Ferrari
